KLEE: WARNING: undefined reference to function: __ctype_get_mb_cur_max
KLEE: WARNING: undefined reference to function: __isoc99_sscanf
KLEE: WARNING: undefined reference to function: freecon
KLEE: WARNING: undefined reference to function: getfilecon
KLEE: WARNING: undefined reference to function: is_selinux_enabled
KLEE: WARNING: undefined reference to function: lgetfilecon
KLEE: WARNING: undefined reference to function: llvm.dbg.label
KLEE: WARNING: undefined reference to function: statx
KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 93825096587072) at /home/haoxin/haoxin-data/smu-research/exp/tools/klee/runtime/POSIX/fd.c:991 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: Alignment of memory from call "realloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling external: vprintf(93825096571936, 93825097780032) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: calling close_stdout with extra arguments.
KLEE: WARNING ONCE: calling external: is_selinux_enabled() at ../src/stat.c:1703 17
KLEE: WARNING ONCE: calling external: statx((Select w32 (Eq 45 (Read w8 0 arg02))
             0
             4294967196), (Select w64 (Eq 45 (Read w8 0 arg02))
             93825090654200
             93825090656112), (Select w32 (Eq 45 (Read w8 0 arg02))
             4096
             256), 2, 93825098694912) at ../src/stat.c:0 0
KLEE: WARNING ONCE: calling external: __ctype_get_mb_cur_max() at ../lib/quotearg.c:262 36
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING ONCE: calling external: printf(93825062008576, 93825090656040) at ../src/stat.c:692 1
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
KLEE: WARNING: __fd_statfs: symbolic file, ignoring (ENOENT)
